prompt_id,stereotype_group_id,cos_similarity: neutral vs change_1,cos_similarity: neutral vs change_2,cos_similarity: neutral vs change_3,cos_similarity: neutral vs change_4,cos_similarity: neutral vs change_5,cos_similarity: change_1 vs change_2,cos_similarity: change_1 vs change_3,cos_similarity: change_1 vs change_4,cos_similarity: change_1 vs change_5,cos_similarity: change_2 vs change_3,cos_similarity: change_2 vs change_4,cos_similarity: change_2 vs change_5,cos_similarity: change_3 vs change_4,cos_similarity: change_3 vs change_5,cos_similarity: change_4 vs change_5
1,"Career, Education, and Finance",0.7267580816084989,0.6934461818186675,0.8065228164942494,0.6827580856029964,0.7734903774305502,0.7160697868920455,0.798455221807993,0.6262667166487579,0.7599986010147806,0.7315933433647486,0.5877307844730375,0.7176424354351573,0.7138988767510914,0.8397922415376665,0.6672782513921016
2,"Career, Education, and Finance",0.8194748057031906,0.9475502812326068,0.8940915607670111,0.8015412593512174,0.8537893913391283,0.8371110975874472,0.8141634923375717,0.8036477338722918,0.8714522214509164,0.8954907101326788,0.7970797641919665,0.8666164629154731,0.8477894347447269,0.8324562018577726,0.7916626814481176
3,"Entertainment, Leisure, and Preferences",0.9020936832152197,0.8805001399025585,0.5325154649624113,0.8981858857531129,0.8442271402543507,0.8755552321545147,0.4940714385636516,0.8791432976673754,0.8191991086041968,0.5492183565723187,0.9094925090262568,0.883353932915034,0.5800875831877415,0.5754453642451616,0.8808549801634901
4,"Entertainment, Leisure, and Preferences",0.7931803512228834,0.6769878182927032,0.8131459312950289,0.8748597089455774,0.8687166552068457,0.5830941345607967,0.7632212823427882,0.8018656608065169,0.7178664674475999,0.6123953381814982,0.6056709520527851,0.703782988334757,0.781069984092495,0.8384497695288118,0.8180197296664857
5,"Entertainment, Leisure, and Preferences",0.705026260823715,0.6146344869610363,0.675730799990508,0.7090809478532396,0.7195721019070848,0.7818163634384968,0.7801778573637526,0.8345629791285829,0.9223946399877248,0.7352715485527048,0.7920938205251247,0.768634262770858,0.7765255008901304,0.7773138180251988,0.8421072507880984
6,"Entertainment, Leisure, and Preferences",0.9517316236182864,0.9274510844284504,0.940985094324452,0.9688801513610156,0.9739450083668478,0.9091853898115232,0.9280821923887947,0.9503519686760734,0.9405752630716452,0.9058984104079636,0.9307426186972688,0.912787422426984,0.9341145035240256,0.9162790477863596,0.9548341952084234
7,"Career, Education, and Finance",0.8509889064310403,0.6262960439537357,0.4969830077191109,0.8574723748730693,0.6803708023074972,0.6152182977037215,0.5845805670549544,0.7958759063779939,0.6641443590592027,0.5323116945252027,0.6273590963099889,0.6563337633767563,0.509607356749656,0.5668332649277015,0.6898391292204048
8,"Entertainment, Leisure, and Preferences",0.6164727365921939,0.8599567783931429,0.8338147182090263,0.8620959139256301,0.6428679352493715,0.5723270123004064,0.5828121271091569,0.6016515246111629,0.9192712542169575,0.9058628655051104,0.9049044483545796,0.6063108369370327,0.924611400597215,0.5996612670749497,0.6298565737782917
9,"Entertainment, Leisure, and Preferences",0.8924335243388049,0.8619256073595565,0.8304994323845115,0.9466670380859176,0.8612609394352706,0.8401364065301938,0.7964118262742859,0.9051754038664724,0.8253029742973463,0.7782381246526637,0.8669568120310356,0.9159368514813152,0.8374365484736377,0.7821825402261936,0.870256948789344
10,"Entertainment, Leisure, and Preferences",0.9157398865922678,0.9068774523809676,0.8818724326131973,0.8301424684181953,0.8103769508018298,0.9100883059752024,0.8787896774972308,0.8432782162948794,0.7976071068648558,0.9498355436965856,0.8474440670390625,0.8662557685809429,0.8406417650648472,0.9050337305707225,0.84498736182463
