cos_similarity: neutral vs neutral american,cos_similarity: neutral vs caucasian american,cos_similarity: neutral vs asian,cos_similarity: neutral vs african american,cos_similarity: neutral vs latino,cos_similarity: neutral vs hispanic,cos_similarity: neutral american vs caucasian american,cos_similarity: neutral american vs asian,cos_similarity: neutral american vs african american,cos_similarity: neutral american vs latino,cos_similarity: neutral american vs hispanic,cos_similarity: caucasian american vs asian,cos_similarity: caucasian american vs african american,cos_similarity: caucasian american vs latino,cos_similarity: caucasian american vs hispanic,cos_similarity: asian vs african american,cos_similarity: asian vs latino,cos_similarity: asian vs hispanic,cos_similarity: african american vs latino,cos_similarity: african american vs hispanic,cos_similarity: latino vs hispanic,prompt_id,pronoun_sequence_id,stereotype_group_id
0.6276655476242823,0.31188308614168775,0.6078080346456308,0.2333155520117996,0.6019426405014612,0.6312507471853916,0.21665706791178618,0.7310430496097777,0.17326134218103734,0.8088114671684365,0.8226181449187362,0.26953916412312534,0.6720560911949305,0.2219453413886921,0.22092715843038005,0.22476793966944122,0.7152569439385462,0.6890230965846761,0.19065323583979368,0.17930162993818505,0.9144263017602619,1,1,Education and Academic Abillites
0.5502470451793176,0.6128918029175783,0.5844068519575927,0.428190456935467,0.5686953098680834,0.46941989992422906,0.7867230807662631,0.7362212257881805,0.5175056962082315,0.6064515539193249,0.58370781782327,0.8136346176449654,0.6533828067611575,0.7254481279656696,0.6321559936313166,0.7046570186852494,0.6308371972616929,0.6020603754506586,0.535604130850794,0.7075895119368569,0.5869907545603813,1,2,Education and Academic Abillites
0.778210086919426,0.7397646254304547,0.5954208926406159,0.7514218976985761,0.6013213486849467,0.6332766731923882,0.7460942975703385,0.6431529313390314,0.6398589706254714,0.764688576648193,0.7060702376466287,0.7633340911777995,0.7661076368981613,0.6047301344773224,0.6939531987626615,0.701536715038411,0.5613407344730956,0.5838823464093392,0.5285498508722984,0.5389415740811505,0.6571532116028687,1,3,Education and Academic Abillites
0.483937675547192,0.5917044254813638,0.5864847145089909,0.5592641960094459,0.5961839658787733,0.5823940115320234,0.7485404071902673,0.526729961773085,0.7332937407013267,0.6794102875597783,0.7707457522323652,0.7810425671156096,0.8426208221620841,0.664657140662207,0.7252568784283854,0.668349257810577,0.5689425080249726,0.5537282007167482,0.6346727497320157,0.727683136052023,0.7893779938277903,1,4,Education and Academic Abillites
0.6324087819332556,0.1630269065762628,0.6869549284217267,0.16243709879214,0.5811800267877848,0.7109045529752007,0.12131272656835838,0.5881601215801926,0.12093412742927094,0.6821688228463063,0.6996575238690562,0.2249118997392442,0.999807963459974,0.14712267705212828,0.16449394610669263,0.22509202493873443,0.5682568197934874,0.758236971792072,0.1469458906124173,0.1643323266483281,0.5686251568757661,1,5,Education and Academic Abillites
0.6070655815212542,0.7901383941463453,0.7216078119017746,0.65079809240979,0.7651553247948405,0.5786418045011905,0.7011389362200046,0.5997052362515012,0.7714800296346521,0.683297924136183,0.7666241631089297,0.8412607220022754,0.7557239114388062,0.777550315533918,0.6520006267095327,0.6941242469269461,0.8305232617159957,0.595573461922821,0.7282278037509953,0.7897256282000903,0.642300138706533,1,6,Education and Academic Abillites
0.7808907708447387,0.16684734748885788,0.43902899255723593,0.18058898053487552,0.7221886455241131,0.6880247387671747,0.1558889124532125,0.4870388479480127,0.17870935292346624,0.7635131250365372,0.7736018478520763,0.33569678902836586,0.5361396554832647,0.1195126375480103,0.13676855015968548,0.4979443578017654,0.4706497080502192,0.5010682567475977,0.16356948116618059,0.1756537146908312,0.7797908276086825,1,7,Education and Academic Abillites
0.30120114562622463,0.7417046192440145,0.702218295326839,0.6537860398480327,0.7197612383546734,0.6346344458694281,0.36571193864410867,0.34670355092179356,0.11083222911392304,0.31641118036350097,0.15160617101813173,0.8202818617279263,0.5857491033236613,0.8278421897355253,0.5557930484707184,0.6016504192649588,0.7158567364128935,0.5317929466699307,0.6429460852702952,0.7965878583493211,0.6654879072512001,1,8,Education and Academic Abillites
0.5512002744764114,0.6696512750173902,0.5856824788256788,0.6123128145133003,0.5663070846421736,0.46655285895748394,0.6767795652567924,0.7011220383822989,0.6244125488996707,0.8005886374047114,0.6101431276749987,0.6146314802389652,0.6416364849022524,0.6326625662619552,0.5529577584271068,0.6473194195956324,0.725289113189053,0.5849133581201682,0.7052741191366096,0.6037510597524571,0.7890802810661481,1,9,Education and Academic Abillites
0.6007972901655436,0.6753511849497543,0.5104730177181058,0.6134608979839697,0.5853110431413153,0.5537610982533592,0.7520054529078026,0.7640240251392083,0.6441570026247381,0.7106769289022321,0.7882293815972253,0.7440919518076619,0.6813090927816188,0.7830047669700765,0.6615710649970485,0.5617096616490996,0.736393714385201,0.7406422729557314,0.6043728887949223,0.6763493008865994,0.6705251539393984,1,10,Education and Academic Abillites
0.6563631861770658,0.6320984217100918,0.6108722163997993,0.5507274214428615,0.5980273916343568,0.7159082950754756,0.4851935754034747,0.6928769135776132,0.46337255071829303,0.7909470029676468,0.7380837280615293,0.5407132497092254,0.7263224685809682,0.5038360238135628,0.5811815175127055,0.4813338613557755,0.6336377568055599,0.6856023518194824,0.46787707646742493,0.5010590659115498,0.7993279720681254,1,11,Education and Academic Abillites
0.6561408806538942,0.6694300197508869,0.675238589982728,0.6134263685646181,0.6956380092152114,0.5741513789582517,0.8549370282651072,0.7112069476635184,0.6834511191119209,0.8017660562243563,0.6767332703059928,0.812099331267762,0.8170099894793581,0.7945709186255334,0.751683780288778,0.9080339625811509,0.7552849517574309,0.6333138523880437,0.7231429772988694,0.6733501811798032,0.7599389064135362,1,12,Education and Academic Abillites
0.4813309831415138,0.5396414293714108,0.3960401420951931,0.3602451337131446,0.35568113700791837,0.36015484594770064,0.6768606586289885,0.4535212244981458,0.6440009542681284,0.612936265818598,0.5153051458162372,0.5632624699052021,0.64351660384849,0.6004560797526486,0.5715042238107071,0.45358049784919835,0.4744524507141391,0.5054365287275817,0.5927878247270503,0.49852261370429474,0.7270849028479218,1,13,Education and Academic Abillites
0.8419978577213085,0.8505851049301583,0.845940488034122,0.7816990858197702,0.8176184776270781,0.7575589284334471,0.7899030645525426,0.8746779654012236,0.799995301362819,0.819451696121532,0.8126917008808289,0.8028595494519892,0.8092096883274262,0.8140273113843517,0.7305996142057174,0.7772762235045738,0.825855303997263,0.7522110034222773,0.7999448458053774,0.7609012460539306,0.8152291679683547,2,1,Education and Academic Abillites
0.8867909372225942,0.8239098577424983,0.6792596487036955,0.7349690247996552,0.770707671542318,0.7473644939830113,0.878942586486421,0.7783725468591306,0.8232070603986474,0.850063188202998,0.8226989237621345,0.7662821691706018,0.7770652359582328,0.8193629457745149,0.8405955363500023,0.795764191221602,0.7781748036374754,0.8258015555965241,0.8560610638572907,0.7849949283315885,0.8759443986961332,2,2,Education and Academic Abillites
