prompt_id,pronoun_sequence_id,stereotype_group_id,cos_similarity: neutral vs neutral american,cos_similarity: neutral vs caucasian american,cos_similarity: neutral vs asian,cos_similarity: neutral vs african american,cos_similarity: neutral vs hispanic,cos_similarity: neutral american vs caucasian american,cos_similarity: neutral american vs asian,cos_similarity: neutral american vs african american,cos_similarity: neutral american vs hispanic,cos_similarity: caucasian american vs asian,cos_similarity: caucasian american vs african american,cos_similarity: caucasian american vs hispanic,cos_similarity: asian vs african american,cos_similarity: asian vs hispanic,cos_similarity: african american vs hispanic
1,1,Education and Academic Abillites,0.8727808744241532,0.6304844148417542,0.5636450230952239,0.5811197814967408,0.6251358490541081,0.5233873782916124,0.4589617476095367,0.5037963257631357,0.5404627001017666,0.8555617849329418,0.8757495574676685,0.8764206415204403,0.8548884320950537,0.8598280684992972,0.848625896775095
1,2,Education and Academic Abillites,0.7878745874000819,0.5496679606882067,0.5531478553538227,0.399427505677685,0.5350720430439699,0.5570906870178955,0.5997686262285975,0.4349867802899559,0.5911398879305019,0.8835125395087766,0.838705625290193,0.8762066358522295,0.8341534133841908,0.8757487877082197,0.8226655634902745
1,3,Education and Academic Abillites,0.8722356374393194,0.8466118705397812,0.796366565378703,0.825825275430726,0.8276819457160438,0.9137816396407916,0.859056368052712,0.8654726227417247,0.8116746981498775,0.9176717409224192,0.9239953309478108,0.8536744994200034,0.912947958657758,0.848185370913801,0.8630186664636552
1,4,Education and Academic Abillites,0.9033740657763836,0.8087082452300043,0.7503860172110237,0.8600788521030559,0.8298980560824715,0.8589918396127496,0.870307626178145,0.8310321858216376,0.8263617946625146,0.9024800549026002,0.8165830865986283,0.8370579410942192,0.7548906577697696,0.7959903248195889,0.8998447013621211
1,5,Education and Academic Abillites,0.7304265745543299,0.6397256534569371,0.6378270149271217,0.636489646844173,0.6790135849902978,0.4970785827578369,0.4881245501646726,0.4972030766068337,0.5356126196292816,0.8983321434674791,0.9150505331092946,0.8354391236032364,0.966287439030306,0.900529172281683,0.881325623546691
1,6,Education and Academic Abillites,0.8747438672320547,0.6137626829430332,0.6082616716132507,0.567526114277549,0.5089117388251373,0.6203700420051388,0.5970994514205828,0.5575624766996865,0.4753139108598421,0.8920514323107611,0.8941749343400114,0.859827428859484,0.9247840311633422,0.9011898763618552,0.9173565904540618
1,7,Education and Academic Abillites,0.8188756921665493,0.6184994128376049,0.5670609948753231,0.4923078490909439,0.5367280877876716,0.5176153618994761,0.4824393082712568,0.3868354507988365,0.4355634513669656,0.843845764419197,0.8629591890915654,0.9056769675229674,0.8807558960827307,0.8742449258686757,0.887418278653042
1,8,Education and Academic Abillites,0.7993925352704725,0.6278910090235826,0.6011391863053084,0.6174461799494839,0.6409227364196627,0.6971110717380276,0.6975983083230508,0.7297941124557217,0.7238135781804744,0.8701386908334955,0.8557229106050408,0.8996154462481369,0.8790474191204265,0.9208203907817992,0.9009907323511148
1,9,Education and Academic Abillites,0.8818397725412996,0.5409087720109537,0.4760598717890358,0.526360563758236,0.4679642943056999,0.5336127470717507,0.5025766222767689,0.5345123588825551,0.4799954527372145,0.8418845118851058,0.879438703592935,0.8392688699362336,0.8807128526835785,0.8523394652453293,0.8359977375259141
1,10,Education and Academic Abillites,0.8952982702200205,0.5287525460169687,0.5064849558494544,0.5470456093346203,0.5264532838919422,0.5128774194060317,0.4717024993988233,0.5295476744409016,0.5263771451497772,0.7307855798080671,0.9142269018315434,0.7521122661572586,0.7441496916776709,0.6425914065937981,0.8097472286997405
1,11,Education and Academic Abillites,0.9141679615157612,0.7691065242659609,0.8234499497095711,0.8326652680621831,0.8139260301809954,0.717358606823197,0.7771063883317988,0.8030299143275813,0.7586254221797266,0.8930005708729597,0.8206813017533466,0.8785966044045439,0.8682778390727992,0.9233559861625288,0.8777525251853419
1,12,Education and Academic Abillites,0.8251474370454538,0.5647995001798134,0.6008146028962441,0.5709975298909197,0.5828729886257009,0.4562069529102983,0.4798379011469093,0.4909862406471,0.5487414384649525,0.9529267133244256,0.8593857671072493,0.8624998353797733,0.8254618694624706,0.815245952233441,0.8596939719031625
1,13,Education and Academic Abillites,0.8172804923582626,0.7171872599962696,0.6045437594299594,0.8162297499820252,0.7565781549201804,0.770234529617364,0.6139076545475366,0.9636370240107508,0.8051623477783025,0.7222032930273008,0.7609271724979862,0.8749196182100958,0.6001733471732754,0.7127562051173368,0.7894514658829499
2,1,Education and Academic Abillites,0.965521752240239,0.523101859275068,0.4329489342403061,0.6040740368306002,0.4899253553973146,0.5345475105304566,0.4605519930684665,0.6070711450579426,0.513202735235301,0.8550316751924434,0.9117350045369153,0.8709764172311739,0.8484969334183423,0.8715243695878101,0.8557960533102328
2,2,Education and Academic Abillites,0.8909125144675594,0.6037729183982075,0.532360998211546,0.5847413250894902,0.5707641897706398,0.6408110283865089,0.5564456662578615,0.6388046372114108,0.5947475735118417,0.8730266938755229,0.9008774028265324,0.9071577894403082,0.8515531534940769,0.8361636495036706,0.8622273595269294
2,3,Education and Academic Abillites,0.895969660540871,0.5019152155794783,0.4447545854637265,0.5874183046220232,0.5979309723130335,0.578301430995751,0.5018546177404101,0.6493460846689556,0.6654897843643126,0.7605856766590247,0.8749276292672791,0.7855316319388443,0.7781984773650739,0.8435468277116094,0.8726731605853524
2,4,Education and Academic Abillites,0.9304797207362944,0.5954297576933231,0.5834249806428112,0.573648898982476,0.5434345123288146,0.5693303560091214,0.5693203201120939,0.5552719321245108,0.5164993457813956,0.8717988233907563,0.9159603701535308,0.8990038270398061,0.8496329153285214,0.8666805480832096,0.901700058092697
2,5,Education and Academic Abillites,0.9184843684002651,0.5716037491178068,0.4787131346451987,0.6353896293381882,0.5532642817642298,0.5305035939655163,0.3964764533001713,0.575397544689902,0.4843717782457719,0.8395194742617814,0.9357605985972288,0.8956538128282803,0.7910832442905276,0.8435652104167748,0.8729064707210115
2,6,Education and Academic Abillites,0.9459320106780224,0.6201904986911758,0.7084472070455626,0.6440818954234179,0.6233778728342596,0.6153336423959082,0.7044756664961671,0.6344345322687237,0.6042027991177221,0.8378535119616908,0.9226535896945554,0.8746252127149694,0.8435831921882235,0.8521350904985785,0.8982778856015967
