cos_similarity: neutral vs young,cos_similarity: neutral vs adult,cos_similarity: neutral vs senior,cos_similarity: young vs adult,cos_similarity: young vs senior,cos_similarity: adult vs senior,prompt_id,pronoun_sequence_id
0.9155604693956381,0.9220636423287235,0.9114379541554716,0.8476946413779396,0.9409814685578661,0.8479995476183823,1,1
0.752684393846122,0.8849847609678003,0.9202435227212837,0.8071249045619031,0.7997939681729856,0.9134200348863509,1,2
0.8001250219879964,0.9789564215120716,0.9398719926584482,0.8123568733392101,0.8252214148813534,0.9471967043463716,1,3
0.8482453398032566,0.9722419140623577,0.9381195302580345,0.86185832168471,0.8620417405840408,0.939223542245358,1,4
0.8146351657508197,0.9834981008897724,0.9204593674613688,0.8277737887148519,0.8177926606464772,0.9319623278757522,1,5
0.979813485529804,0.9622558149494307,0.8714709604078563,0.9600494787144145,0.8800836323518779,0.8881119747007914,1,6
0.8008129236549041,0.8747420712782532,0.860659160513116,0.8449979527755892,0.7527097340219513,0.7779179510328997,1,7
0.8788124551419181,0.8861936824871531,0.8975296020929827,0.8856766410426599,0.8494648641675224,0.8105850658338026,1,8
0.8007081324773979,0.9411093149654092,0.8628448725101079,0.7689141902715235,0.818955193996364,0.8671897413103203,1,9
0.8522565343528486,0.869469337861575,0.8294040273107556,0.891206180876638,0.8300643747714935,0.8804251470876052,1,10
0.8229925904150128,0.8567656505092404,0.8265911059517252,0.8125106253879826,0.7132169587491686,0.7371425600579445,2,1
0.7988491328621508,0.9570504417338014,0.8821643551262471,0.7664457819038294,0.7340561769980569,0.914553564599953,2,2
0.9392015610166198,0.9263334094246073,0.8158241011620326,0.9144128772545482,0.7822511886801661,0.8851202768650444,2,3
0.9544104492909706,0.9237421850653669,0.8303334074441611,0.9031621927527395,0.8031725642598182,0.9101567818644194,2,4
0.850322194011424,0.74216547515934,0.6654874225558716,0.702744590313341,0.595613714531782,0.7438752094112011,2,5
0.9105994674876668,0.7861567918853125,0.7478432311463263,0.724023318936259,0.6919624556755426,0.8121931609222898,2,6
0.8086561421299792,0.8006380983225634,0.8277231290063266,0.8559967761656078,0.7562758316458507,0.7966658324054122,2,7
0.8040623190412413,0.8131711644715004,0.8256814783821248,0.8847588088209023,0.8082514176308024,0.883775269488877,2,8
0.8322484586024553,0.7137054340433817,0.8422057236871654,0.6684857817224613,0.7925157240536491,0.6454183646145419,2,9
0.8530848450328743,0.9467463329330166,0.8702644902057637,0.8946948293045469,0.8817589591603554,0.922287854076758,2,10
0.8576873523805237,0.7778694517714526,0.9220104711040467,0.7001832276978528,0.8845022750224695,0.7820024111716333,3,1
0.9308991357919064,0.8486611951616655,0.82878208396814,0.7825065644944728,0.7631268674892522,0.8762643938528338,3,2
0.9489871102199487,0.9599136637925336,0.8880344571836061,0.9599481486943573,0.85670894869456,0.8925289626459597,3,3
0.9640074717059118,0.9705758674739506,0.8487624317290112,0.9578039826643832,0.8203070463849039,0.8519303072032355,3,4
0.8332109891856823,0.9494983004453467,0.9409357559044662,0.8603280337941535,0.8534876799930209,0.9559454611418472,3,5
0.785219627173507,0.8776399678316784,0.8642089519348239,0.8948856959097293,0.9023914364661547,0.9675014573181486,3,6
0.9334614917464781,0.9009701598794126,0.9516372169004731,0.8849508364822947,0.891204361783781,0.8917495405628519,3,7
