cos_similarity: young vs adult,cos_similarity: young vs senior,cos_similarity: young vs neutral,cos_similarity: adult vs senior,cos_similarity: adult vs neutral,cos_similarity: senior vs neutral,prompt_id,pronoun_sequence_id
0.6258463488523904,0.8381594976377973,0.8934822388884085,0.565953796842809,0.574466623404184,0.856076402060194,1,1
0.884142347812624,0.8586985556919944,0.8993487192794374,0.880775705283011,0.8856617828057829,0.8689677964616691,1,2
0.8900527393456645,0.8550643466853306,0.9170421396569359,0.8817156025989685,0.8756361578265663,0.8436947744997052,1,3
0.791624757835776,0.8733403489905396,0.623710414382727,0.8045300372350788,0.5841692350844379,0.629392290630511,1,4
0.813058000393849,0.8064122294892475,0.5403054560151855,0.9083706517954787,0.6620800238913122,0.6356541207582908,1,5
0.8331291217518054,0.6936546345893111,0.6478330646443518,0.7337764812212111,0.5944437671861225,0.5630191674488154,1,6
0.877879565544697,0.8402561017933706,0.8431085119346184,0.8698977547325231,0.888907738772561,0.8188387184961075,1,7
0.8666793138090991,0.8653255132950872,0.8769565361381719,0.8950927698819946,0.8010011290886415,0.8298457320173314,1,8
0.4900214044786285,0.4638739245372364,0.8815877311695743,0.531009808997153,0.5278002822552044,0.41329407330075896,1,9
0.8589964055999209,0.7204312708591616,0.8785446373908314,0.7227343403654016,0.8431518516481382,0.7533802743905005,1,10
0.7215383715888788,0.6624891943469164,0.775163644811324,0.5979577702851079,0.6699358041260326,0.8017908102567688,2,1
0.7359731070048727,0.6827931066167822,0.739378797003232,0.7855519392330018,0.8400994345459504,0.7440338886619787,2,2
0.8017905347153516,0.6926080325223996,0.5122385094785826,0.8620436844994979,0.49884978044248063,0.4378324481026086,2,3
0.7829846570135681,0.7053155700383795,0.8710112789740865,0.9035526765829913,0.8875772563598392,0.8284073837537964,2,4
0.5522319212628858,0.450006219336227,0.644810489661423,0.6701978139854092,0.43360264635992846,0.3627195118517208,2,5
0.6676762834522074,0.5894204765957068,0.8132170568139385,0.6830427408992221,0.6356524357500625,0.5133335385413279,2,6
0.8469743016095292,0.7318717502673735,0.7938569140068332,0.8055488339679837,0.8619416069011068,0.8157519875871504,2,7
0.7294745301936607,0.8167528345493863,0.7259199920005597,0.7982079124486866,0.7192624643204126,0.7628275324300466,2,8
0.6649516322935446,0.6751471323411793,0.7840957516292146,0.6751525751576309,0.7532896622977793,0.7501911170330138,2,9
0.8066931218407337,0.6875987997448681,0.7339874921548775,0.8021251088314189,0.8393551625776503,0.8504340459494575,2,10
0.7958447612040092,0.7893794436111339,0.8692620269858222,0.7418646792578161,0.7949561456316466,0.77571869548774,3,1
0.6646500522887994,0.6562789202147461,0.7093478813373907,0.793678331673568,0.7839141991959648,0.746706489291205,3,2
